question,score
What is the longest river in the world?,9
How do vaccines work?,8
What is gravity?,8
What is the significance of the Sistine Chapel ceiling?,9
What is the difference between weather and climate?,9
What is the law of demand in economics?,8
Explain the benefits of community service.,9
What's the difference between DNA and RNA?,7
What is the significance of biodiversity hotspots?,8
How do you troubleshoot a smartphone that won’t charge?,7
What is the difference between a physical and chemical change?,6
What is the difference between renewable and non-renewable energy?,9
Why is the sky blue?,9
Explain the implications of quantum computing for encryption algorithms.,9
How does the process of fermentation work?,7
What is strategic planning?,9
How do community gardens benefit urban spaces?,8
Who is known as the father of computers?,2
Who invented the telephone?,10
Explain the process of photosynthesis in detail.,8
What's the difference between correlation and causation?,7
How do solar panels work?,8
Who wrote 'To Kill a Mockingbird'?,10
Develop a risk management plan for a financial institution dealing with cyber threats.,8
What is the principle of ‘innocent until proven guilty’ in legal systems?,7
What is inflation?,8
